question,correct_answer,generated_answer,total_tokens
Which groups in percent are larger than 17%?,under the age of 18,Under 18 (25.4%) and 25–44 (31.2%).,"{""completion_tokens"": 219, ""prompt_tokens"": 368, ""total_tokens"": 587, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which groups in percent are larger than 13%?,under the age of 18,">> FINAL ANSWER: The groups larger than 13% are:
- Under 18: 25.4%
- 18 to 24: 16.4%
- 25 to 44: 31.2%
- 45 to 64: 16.7%","{""completion_tokens"": 389, ""prompt_tokens"": 368, ""total_tokens"": 757, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 320, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which cities did he move to after leaving America?,St Georges,>> FINAL ANSWER: London and Lichfield.,"{""completion_tokens"": 660, ""prompt_tokens"": 511, ""total_tokens"": 1171, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 640, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many percent of people of Karnataka do not speak the Kannada language?,33.46,Approximately 33.46% (100% − 66.54%).,"{""completion_tokens"": 280, ""prompt_tokens"": 410, ""total_tokens"": 690, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
By how many births did Pennsylvania's birth rate decline from 1990 to 2000?,25179,">> FINAL ANSWER: 25,179 births","{""completion_tokens"": 275, ""prompt_tokens"": 518, ""total_tokens"": 793, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
"Which job did Aleksander hold first, Palatine-Governor of Smolensk or Lithuanian Field-Quartermaster?",Lithuanian Field-Quartermaster,"Palatine-Governor of Smolensk. He held that post from 1625, earlier than becoming Lithuanian Field-Quartermaster in 1630.","{""completion_tokens"": 234, ""prompt_tokens"": 372, ""total_tokens"": 606, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Were there more African Americans or Native Americans in Huntington Beach?,African American,">> FINAL ANSWER: There were more African Americans (1,813) than Native Americans (992) in Huntington Beach.","{""completion_tokens"": 290, ""prompt_tokens"": 471, ""total_tokens"": 761, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Over how many years did Orlogsværftet produce 8 OV-flying boats?,3,>> FINAL ANSWER: 4 years,"{""completion_tokens"": 209, ""prompt_tokens"": 489, ""total_tokens"": 698, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 192, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many total people are there in the population?,198,>> FINAL ANSWER: 198,"{""completion_tokens"": 720, ""prompt_tokens"": 497, ""total_tokens"": 1217, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 704, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many years did Simon Fletcher play with the Broncos?,10,>> FINAL ANSWER: 11 years,"{""completion_tokens"": 145, ""prompt_tokens"": 589, ""total_tokens"": 734, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many people died?,680,>> FINAL ANSWER: 680,"{""completion_tokens"": 272, ""prompt_tokens"": 410, ""total_tokens"": 682, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many more children received the vaccine than those that received placebo?,230000,">> FINAL ANSWER: 230,000","{""completion_tokens"": 466, ""prompt_tokens"": 569, ""total_tokens"": 1035, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which groups made up less than 10% each?,age 18 to 24,>> FINAL ANSWER: Only the 18–24 age group (8.1%).,"{""completion_tokens"": 411, ""prompt_tokens"": 385, ""total_tokens"": 796, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 384, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
From what distance did Robbie Gould make more than one field goal attempt?,36-yard,36 yards.,"{""completion_tokens"": 268, ""prompt_tokens"": 501, ""total_tokens"": 769, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 256, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which group from the census is larger: White or African American?,White,>> FINAL ANSWER: White (97.90%) is larger than African American (0.56%).,"{""completion_tokens"": 158, ""prompt_tokens"": 505, ""total_tokens"": 663, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 128, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many years after founding did it take for teh published house to be officially incorporated?,3,>> FINAL ANSWER: 3 years (founded in 1915; incorporated in 1918).,"{""completion_tokens"": 479, ""prompt_tokens"": 506, ""total_tokens"": 985, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many in percent of households had someone living alone who wasn't 65 years of age or older?,96.2,>> FINAL ANSWER: 19.4%,"{""completion_tokens"": 403, ""prompt_tokens"": 381, ""total_tokens"": 784, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 384, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
Which group is smaller that resided in the county according to the 2000 census: people or households?,households,">> FINAL ANSWER: Households (6,123) are fewer than people (15,557).","{""completion_tokens"": 478, ""prompt_tokens"": 458, ""total_tokens"": 936, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 448, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
How many of the citizens of Northern Cyprrus were not born in Cyprus?,30826,">> FINAL ANSWER: 30,626","{""completion_tokens"": 786, ""prompt_tokens"": 406, ""total_tokens"": 1192, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 768, ""rejected_prediction_tokens"": 0}, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}}"
